Unit,,F,f_contrast,Score,f_gj,Score
法国,France,943,55,-304.808,888,304.808
马克龙,Macro,516,4,-211.9439,512,211.9439
黄背心,Gilet jaune,330,0,-142.0006,330,142.0006
运动,mouvement,388,13,-140.2463,375,140.2463
抗议,manifestation,351,11,-128.1874,340,128.1874
黄马甲,Gilet jaune,275,0,-118.2862,275,118.2862
巴黎,Paris,295,18,-94.3312,277,94.3312
示威,manifestation,220,4,-85.6914,216,85.6914
民众,des gens,267,27,-71.7223,240,71.7223
改革,réforme,167,2,-67.1729,165,67.1729
法国政府,gouvernement français,128,1,-52.6601,127,52.6601
示威者,manifestant,136,3,-52.1345,133,52.1345
燃油税,taxe carburant,121,0,-51.9874,121,51.9874
暴力,violence,122,2,-48.0884,120,48.0884
抗议者,manifestant,107,0,-45.9676,107,45.9676
活动,mouvement,295,66,-44.8264,229,44.8264
菲利普,Phillips,83,1,-33.5008,82,33.5008
上调,augementer,62,0,-26.6267,62,26.6267
街头,la rue,67,2,-24.9671,65,24.9671
香榭丽舍大街,Avenue des Champs-Elysées,58,0,-24.9081,58,24.9081
骚乱,émeute,57,0,-24.4785,57,24.4785
凯旋门,l’Arc de Triomphe,54,0,-23.1896,54,23.1896
周六,samedi,61,3,-20.9446,58,20.9446
诉求,demande,67,5,-20.6308,62,20.6308
游行,manifestation,64,5,-19.4435,59,19.4435
全国,à travers tout le pays,130,31,-18.7718,99,18.7718
欧元,euro,58,4,-18.3509,54,18.3509
平息,calmer,41,0,-17.6053,41,17.6053
税,taxe,39,0,-16.7462,39,16.7462
法国人,les Français,39,0,-16.7462,39,16.7462
社会,la société,111,26,-16.4834,85,16.4834
不满,mécontent,62,7,-16.3082,55,16.3082
意大利,Italie,101,23,-15.5564,78,15.5564
但,mais,309,124,-15.2536,185,15.2536
法国总理,premier ministre français,34,0,-14.5988,34,14.5988
上涨,augementer,37,1,-14.0846,36,14.0846
黄色,jaune,31,0,-13.3103,31,13.3103
爆发,eclater,42,3,-13.2729,39,13.2729
这场,ce/cette,62,10,-13.2679,52,13.2679
愤怒,colère,37,2,-12.5945,35,12.5945
措施,mesures,89,22,-12.5215,67,12.5215
下降,baisser,46,5,-12.4471,41,12.4471
商店,magasin,33,1,-12.4156,32,12.4156
周末,weekend,51,7,-12.2029,44,12.2029
油价,prix des carburants,28,0,-12.022,28,12.022
示威抗议,manifestation,28,0,-12.022,28,12.022
上街,aller dans la rue,32,1,-11.9993,31,11.9993
以来,depuis,129,42,-11.4815,87,11.4815
危机,crise,69,15,-11.3904,54,11.3904
警方,la police,103,30,-11.3716,73,11.3716
身穿,s’habiller,26,0,-11.1631,26,11.1631
政党,Partie politique,70,16,-10.9459,54,10.9459
经济,economie,169,63,-10.7957,106,10.7957
走上,aller sur/dans,29,1,-10.7528,28,10.7528
富人,Les riches,25,0,-10.7337,25,10.7337
受访者,personne interviewée,25,0,-10.7337,25,10.7337
认为,penser /trouver (que),232,96,-10.5184,136,10.5184
警察,la police,94,28,-10.062,66,10.062
导致,causer (NEG),74,19,-10.0302,55,10.0302
让步,concession,50,9,-9.9667,41,9.9667
大辩论,grand débat,23,0,-9.8748,23,9.8748
约,quelque,116,39,-9.7378,77,9.7378
最低工资,smic,22,0,-9.4454,22,9.4454
巨富,les milliards,22,0,-9.4454,22,9.4454
民调,sondage,32,3,-9.3361,29,9.3361
出现,apparaître,71,19,-9.1285,52,9.1285
大规模,à grande échelle,45,8,-9.1132,37,9.1132
